window_hours,split,path_context,n,proportion
6,test,path_mixed_pressure,4368,0.6595198550505813
6,test,path_neutral_pressure,2024,0.3056016910765514
6,test,path_directional_weak,214,0.03231164125018873
6,test,path_directional_core,17,0.0025668126226785445
6,train,path_mixed_pressure,18537,0.6642895538433973
6,train,path_neutral_pressure,8482,0.3039598638236875
6,train,path_directional_weak,801,0.02870453323777101
6,train,path_directional_core,85,0.003046049095144239
6,validation,path_mixed_pressure,3703,0.6192307692307693
6,validation,path_neutral_pressure,1912,0.3197324414715719
6,validation,path_directional_weak,342,0.05719063545150502
6,validation,path_directional_core,23,0.0038461538461538464
12,test,path_mixed_pressure,4137,0.624641401177714
12,test,path_neutral_pressure,2165,0.3268911369470029
12,test,path_directional_weak,300,0.04529669334138608
12,test,path_directional_core,21,0.0031707685338970256
12,train,path_mixed_pressure,18029,0.646084931015947
12,train,path_neutral_pressure,8670,0.3106970077047124
12,train,path_directional_weak,1055,0.03780684465149615
12,train,path_directional_core,151,0.0054112166278444725
12,validation,path_mixed_pressure,3306,0.5528428093645485
12,validation,path_neutral_pressure,2081,0.3479933110367893
12,validation,path_directional_weak,552,0.09230769230769231
12,validation,path_directional_core,41,0.0068561872909699
24,test,path_mixed_pressure,3726,0.5625849313000151
24,test,path_neutral_pressure,2347,0.35437113090744377
24,test,path_directional_weak,499,0.07534349992450551
24,test,path_directional_core,51,0.007700437868035633
24,train,path_mixed_pressure,17380,0.622827450277728
24,train,path_neutral_pressure,8776,0.3144956101057158
24,train,path_directional_weak,1530,0.05482888371259631
24,train,path_directional_core,219,0.007848055903959863
24,validation,path_mixed_pressure,3021,0.5051839464882943
24,validation,path_neutral_pressure,2067,0.3456521739130435
24,validation,path_directional_weak,846,0.1414715719063545
24,validation,path_directional_core,46,0.007692307692307693
48,test,path_mixed_pressure,3764,0.5683225124565907
48,test,path_neutral_pressure,2203,0.3326287181035784
48,test,path_directional_weak,587,0.0886305299713121
48,test,path_directional_core,69,0.010418239468518798
48,train,path_mixed_pressure,17020,0.6099265364629994
48,train,path_neutral_pressure,8572,0.3071850922773696
48,train,path_directional_weak,1956,0.07009496506002509
48,train,path_directional_core,357,0.012793406199605806
48,validation,path_mixed_pressure,2725,0.45568561872909696
48,validation,path_neutral_pressure,2067,0.3456521739130435
48,validation,path_directional_weak,1095,0.18311036789297658
48,validation,path_directional_core,93,0.015551839464882942
