horizon,split,response_context,n,coverage,median_snr,median_reliability,coverage_applicable
20m,test,directional_core,1755,0.6541310541310541,0.4004494664232864,0.7595702478429698,True
20m,test,low_quality_plie,235,0.5234042553191489,0.0731240080254298,0.0522619401075033,True
20m,test,true_neutral_plie,1047,,0.07175045600540941,0.0079994512538441,False
20m,test,weak_directional_context,3585,,0.1415818585393232,0.3595246420417166,False
20m,train,directional_core,8359,0.6594090202177294,0.41465053068403995,0.722711959700007,True
20m,train,low_quality_plie,826,0.5387409200968523,0.06917592344536842,0.07017817281784375,True
20m,train,true_neutral_plie,4165,,0.07073009621798092,0.0115098361067644,False
20m,train,weak_directional_context,14555,,0.15447117391297044,0.3492914253861528,False
20m,validation,directional_core,1848,0.6466450216450217,0.44332283313300946,0.7612834847985355,True
20m,validation,low_quality_plie,272,0.5294117647058824,0.07089480550678318,0.0612789259811104,True
20m,validation,true_neutral_plie,956,,0.06777540068503649,0.010690088445921751,False
20m,validation,weak_directional_context,2904,,0.12844118405320176,0.3621983107402058,False
30m,test,directional_core,1799,0.6614785992217899,0.4218419935610676,0.7578079524818135,True
30m,test,low_quality_plie,250,0.472,0.07324738781688223,0.053507029522115154,True
30m,test,true_neutral_plie,1047,,0.07136299935276334,0.0079994512538441,False
30m,test,weak_directional_context,3526,,0.14081856776304283,0.35933507089925665,False
30m,train,directional_core,8448,0.6633522727272727,0.40952061388073,0.722926320545566,True
30m,train,low_quality_plie,919,0.5125136017410229,0.06787293594343721,0.06945485242093,True
30m,train,true_neutral_plie,4165,,0.0659423303101614,0.0115098361067644,False
30m,train,weak_directional_context,14373,,0.15125731993954122,0.3493117975581051,False
30m,validation,directional_core,1850,0.6621621621621622,0.4709590863930466,0.7612299314358189,True
30m,validation,low_quality_plie,276,0.5434782608695652,0.06944582471811342,0.0620419277458664,True
30m,validation,true_neutral_plie,956,,0.06665133986467074,0.010690088445921751,False
30m,validation,weak_directional_context,2898,,0.12998983133521674,0.3622067987509242,False
60m,test,directional_core,1815,0.6820936639118458,0.4661411046518698,0.7562476779179755,True
60m,test,low_quality_plie,295,0.4745762711864407,0.060348342814418456,0.0555697979535326,True
60m,test,true_neutral_plie,1047,,0.05360751779261891,0.0079994512538441,False
60m,test,weak_directional_context,3465,,0.12716560549788267,0.3595246420417166,False
60m,train,directional_core,8661,0.6590462995035216,0.4102773138849783,0.7225212900545518,True
60m,train,low_quality_plie,1114,0.5385996409335727,0.05908543283367252,0.0691702367847854,True
60m,train,true_neutral_plie,4165,,0.050507319248508424,0.0115098361067644,False
60m,train,weak_directional_context,13965,,0.1335161010778157,0.3492563481950004,False
60m,validation,directional_core,1880,0.676063829787234,0.47002381698683104,0.7607299079055224,True
60m,validation,low_quality_plie,312,0.5384615384615384,0.05862210515341091,0.0645830167372924,True
60m,validation,true_neutral_plie,956,,0.051112712926130344,0.010690088445921751,False
60m,validation,weak_directional_context,2832,,0.115922135767363,0.3623050639751033,False
