response_context,market_response_label,n,exit_rate,window_hours
directional_core,baseline_transmission,2455,0.1869653767820774,12
directional_core,normal_response,3546,0.1988155668358714,12
directional_core,partial_absorption,2486,0.22244569589702334,12
directional_core,passive_amplification,1832,0.17194323144104803,12
directional_core,reversal_takeover,1778,0.28965129358830144,12
low_quality_plie,low_quality_extreme_active_move,67,0.8656716417910447,12
low_quality_plie,low_quality_low_active_move,799,0.8523153942428036,12
low_quality_plie,low_quality_normal_active_move,358,0.8743016759776536,12
low_quality_plie,low_quality_strong_active_move,220,0.8727272727272727,12
low_quality_plie,low_quality_unavailable,1,1.0,12
true_neutral_plie,neutral_extreme_active_move,285,0.7017543859649122,12
true_neutral_plie,neutral_low_active_move,3445,0.5924528301886792,12
true_neutral_plie,neutral_normal_active_move,1570,0.6375796178343949,12
true_neutral_plie,neutral_strong_active_move,866,0.6628175519630485,12
true_neutral_plie,neutral_unavailable,2,0.5,12
weak_directional_context,weak_directional_amplification_candidate,8411,0.5300202116276305,12
weak_directional_context,weak_directional_rejection_candidate,9496,0.5611836562763268,12
weak_directional_context,weak_directional_stall_candidate,1836,0.4940087145969499,12
weak_directional_context,weak_directional_transmission_candidate,1054,0.6091081593927894,12
directional_core,baseline_transmission,2455,0.3890020366598778,24
directional_core,normal_response,3546,0.41624365482233505,24
directional_core,partial_absorption,2486,0.4436846339501207,24
directional_core,passive_amplification,1832,0.36790393013100436,24
directional_core,reversal_takeover,1778,0.4870641169853768,24
low_quality_plie,low_quality_extreme_active_move,67,0.9253731343283582,24
low_quality_plie,low_quality_low_active_move,799,0.9474342928660826,24
low_quality_plie,low_quality_normal_active_move,358,0.9413407821229051,24
low_quality_plie,low_quality_strong_active_move,220,0.9545454545454546,24
low_quality_plie,low_quality_unavailable,1,1.0,24
true_neutral_plie,neutral_extreme_active_move,285,0.8947368421052632,24
true_neutral_plie,neutral_low_active_move,3445,0.8467343976777939,24
true_neutral_plie,neutral_normal_active_move,1570,0.8834394904458599,24
true_neutral_plie,neutral_strong_active_move,866,0.8903002309468823,24
true_neutral_plie,neutral_unavailable,2,1.0,24
weak_directional_context,weak_directional_amplification_candidate,8411,0.7575793603614315,24
weak_directional_context,weak_directional_rejection_candidate,9496,0.7715880370682393,24
weak_directional_context,weak_directional_stall_candidate,1836,0.7450980392156863,24
weak_directional_context,weak_directional_transmission_candidate,1054,0.8045540796963947,24
