split,state_proxy_label,n,proportion
test,VT,3879,0.585686244904122
test,RC,2370,0.35784387739695
test,HPEM,179,0.02702702702702703
test,RHA,83,0.012532085157783483
test,AMB,73,0.011022195379737278
test,ST,39,0.00588857013438019
train,VT,16030,0.5744490234724959
train,RC,10302,0.3691811503314818
train,HPEM,954,0.03418742160903064
train,AMB,295,0.01057158215373589
train,RHA,198,0.007095502598100698
train,ST,126,0.00451531983515499
validation,VT,3121,0.5219063545150502
validation,RC,2238,0.374247491638796
validation,HPEM,331,0.055351170568561876
validation,RHA,152,0.025418060200668897
validation,ST,74,0.012374581939799331
validation,AMB,64,0.010702341137123745
